playerID,year,stint,tmID,TotalGP,Points,TotalMinutes,TotaloRebounds,TotaldRebounds,TotalRebounds,TotalAssists,TotalSteals,TotalBlocks,TotalTurnovers,TotalPF,TotalfgAttempted,TotalfgMade,TotalftAttempted,TotalftMade,TotalthreeAttempted,TotalthreeMade,TotalGS,TotalDQ
ogayu01w,9,0,PHO,23,56,180,5,12,17,14,7,0,22,13,57,20,17,16,10,0,0,1
ohldeni01w,5,0,MIN,36,425,1092,87,117,204,69,17,45,80,108,331,147,187,131,2,0,36,1
ohldeni01w,6,0,MIN,34,382,1038,63,131,194,78,21,22,84,92,292,133,142,116,2,0,34,1
ohldeni01w,7,0,MIN,34,327,870,61,129,190,54,20,25,74,99,265,120,131,87,1,0,34,0
ohldeni01w,8,0,MIN,34,392,922,69,139,208,56,17,20,82,127,342,128,161,136,0,0,34,4
ohldeni01w,9,0,MIN,34,197,559,44,68,112,45,10,22,50,88,161,73,65,51,0,0,34,1
ohldeni01w,10,0,PHO,32,138,461,28,61,89,10,9,23,39,76,93,52,51,34,0,0,0,1
oneilkr01w,9,0,SEA,11,0,31,0,3,3,1,0,0,1,4,4,0,0,0,2,0,0,0
osipoir01w,7,0,DET,11,23,128,4,6,10,11,6,0,14,17,19,9,9,5,1,0,0,0
owenhe01w,1,0,WAS,11,2,60,2,7,9,2,0,0,3,12,4,1,0,0,0,0,0,0
owenssh01w,1,0,MIA,31,131,605,47,50,97,21,11,26,54,95,131,51,54,29,0,0,16,3
owenssh01w,3,0,CHA,2,0,6,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
pageda01w,9,0,CON,3,6,12,2,4,6,0,0,0,2,3,5,3,0,0,0,0,0,0
pagemu01w,1,0,WAS,34,325,1115,81,133,214,65,25,32,67,108,231,135,96,55,0,0,34,2
pagemu01w,2,0,WAS,32,225,989,74,103,177,55,30,36,60,88,231,100,36,21,17,4,32,2
pagemu01w,3,0,WAS,37,256,863,61,116,177,41,15,19,48,91,222,105,68,44,4,2,15,0
pagemu01w,4,0,WAS,34,213,850,62,90,152,35,18,24,41,101,220,83,56,42,12,5,34,0
pagemu01w,5,0,WAS,36,195,899,43,111,154,40,25,17,33,90,191,86,42,23,3,0,22,1
pagemu01w,6,0,WAS,34,108,589,21,62,83,25,15,9,23,56,119,47,8,8,22,6,4,0
pagemu01w,7,0,LAS,39,195,808,50,94,144,36,20,11,32,74,169,75,57,44,5,1,5,1
pagemu01w,8,0,LAS,34,163,627,33,78,111,45,14,9,25,68,170,71,24,19,10,2,8,0
pagemu01w,9,0,LAS,32,43,258,13,22,35,15,5,2,11,35,51,16,14,9,8,2,1,0
