year,tmID,confID,playoff,o_oreb,o_dreb,o_pf,o_stl,o_blk,o_pts,d_oreb,d_dreb,d_asts,d_pf,d_to,d_blk,d_pts,min,attend,RoundReached,winPercentage,homeWinPercentage,awayWinPercentage,of_goal,of_3pt,of_throw,of_reb,of_assist,df_goal,df_3pt,df_throw,df_reb,df_steal
10,LAS,WE,1,365,883,583,217,166,2533,320,730,516,622,463,115,2498,6925,176587,2,0.529,0.647,0.412,0.43,0.3,0.79,1248,1.03,0.4,0.33,0.77,1050,300
1,MIA,EA,0,365,595,707,272,88,1831,275,648,416,661,528,118,2001,6475,127721,0,0.406,0.562,0.25,0.36,0.27,0.68,960,0.79,0.43,0.37,0.72,923,247
2,MIA,EA,1,292,651,602,300,153,1957,301,667,388,538,512,87,1898,6575,141717,1,0.625,0.625,0.625,0.41,0.32,0.76,943,1.04,0.39,0.3,0.71,968,259
3,MIA,EA,0,296,573,643,274,96,2046,278,693,446,588,515,104,2088,6475,141252,0,0.469,0.562,0.375,0.42,0.33,0.7,869,1.09,0.43,0.34,0.76,971,222
1,MIN,WE,0,258,612,690,237,63,2193,300,677,472,707,547,130,2188,6425,116638,0,0.469,0.5,0.438,0.42,0.36,0.76,870,1.0,0.43,0.34,0.73,977,275
2,MIN,WE,0,308,693,695,210,127,2077,328,688,511,719,470,126,2156,6475,120607,0,0.375,0.375,0.375,0.37,0.32,0.77,1001,0.86,0.39,0.32,0.8,1016,259
3,MIN,WE,0,309,650,617,226,102,2003,302,612,495,618,465,117,2104,6475,139874,0,0.312,0.438,0.188,0.41,0.33,0.66,959,0.88,0.41,0.36,0.77,914,273
4,MIN,WE,1,361,718,634,242,101,2380,337,652,528,666,471,126,2370,6850,120253,1,0.529,0.647,0.412,0.44,0.34,0.72,1079,1.04,0.42,0.32,0.75,989,271
5,MIN,WE,1,332,724,660,257,139,2165,323,713,508,676,502,133,2190,6850,125097,1,0.529,0.647,0.412,0.4,0.33,0.71,1056,0.86,0.41,0.28,0.73,1036,333
6,MIN,WE,0,310,715,624,258,127,2211,344,711,537,665,487,144,2288,6850,113447,0,0.412,0.647,0.176,0.41,0.35,0.73,1025,0.99,0.43,0.34,0.73,1055,275
7,MIN,WE,0,340,804,654,193,113,2523,372,832,625,633,438,124,2735,6825,109522,0,0.294,0.471,0.118,0.43,0.35,0.71,1144,0.93,0.43,0.33,0.76,1204,308
8,MIN,WE,0,397,785,713,238,95,2636,318,800,565,645,529,147,2752,6875,121019,0,0.294,0.412,0.176,0.41,0.33,0.79,1182,1.06,0.45,0.35,0.78,1118,279
9,MIN,WE,0,353,792,751,309,131,2767,350,862,587,748,579,140,2721,6900,118463,0,0.471,0.529,0.412,0.43,0.32,0.75,1145,1.18,0.44,0.33,0.76,1212,248
10,MIN,WE,0,325,762,693,301,128,2731,317,848,589,694,543,140,2827,6875,128127,0,0.412,0.529,0.294,0.42,0.35,0.77,1087,0.99,0.46,0.38,0.77,1165,250
1,NYL,EA,1,288,652,617,246,102,2148,320,647,462,645,479,94,2035,6425,231962,3,0.625,0.75,0.5,0.44,0.34,0.76,940,1.01,0.41,0.28,0.74,967,223
2,NYL,EA,1,255,660,616,265,82,2162,304,679,430,600,496,76,2082,6400,250565,2,0.656,0.812,0.5,0.46,0.38,0.67,915,1.27,0.42,0.34,0.72,983,223
3,NYL,EA,1,260,610,638,261,100,2089,312,649,410,597,478,88,2015,6450,234717,3,0.562,0.625,0.5,0.44,0.36,0.71,870,1.08,0.4,0.34,0.75,961,228
4,NYL,EA,0,271,686,587,262,128,2243,326,736,506,614,480,96,2256,6850,212346,0,0.471,0.647,0.294,0.43,0.36,0.77,957,1.12,0.42,0.33,0.79,1062,269
5,NYL,EA,1,263,741,587,209,124,2252,371,730,517,589,430,123,2297,6900,168062,2,0.529,0.647,0.412,0.42,0.35,0.75,1004,1.07,0.41,0.32,0.74,1101,288
6,NYL,EA,1,242,732,613,214,112,2316,345,685,473,590,411,86,2285,6925,172381,1,0.529,0.588,0.471,0.45,0.34,0.82,974,1.08,0.43,0.31,0.73,1030,275
7,NYL,EA,0,285,736,674,252,112,2372,341,832,508,668,485,134,2656,6875,155048,0,0.324,0.412,0.235,0.4,0.33,0.79,1021,0.82,0.45,0.37,0.77,1173,270
8,NYL,EA,1,287,788,618,289,109,2413,378,837,509,608,562,115,2501,6850,147866,1,0.471,0.588,0.353,0.42,0.37,0.74,1075,0.82,0.41,0.32,0.76,1215,321
9,NYL,EA,1,327,778,655,290,117,2573,352,823,496,625,559,109,2538,6900,153772,2,0.559,0.647,0.471,0.42,0.37,0.75,1105,1.01,0.43,0.36,0.77,1175,285
10,NYL,EA,0,280,802,637,276,121,2512,333,869,482,590,548,124,2535,6900,166604,0,0.382,0.471,0.294,0.42,0.36,0.79,1082,0.97,0.42,0.35,0.79,1202,269
